operateur,id_support,technologie,adresse0,adresse1,adresse2,adresse3,code_postal,coordonnees,statut,statut_last,statut_old
SFR,445900,5G NR 3500,,R DE LA PLAINE,PRES DU CH D'EAU,,50170,"48.548611111111, -1.498333333333",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,87315,5G NR 3500,,3 Allée Le Titien,,,87280,"45.845, 1.233888888889",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,272523,5G NR 3500,,1 av anatole france,,,83160,"43.135277777778, 5.977777777778",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,278946,5G NR 2100,Dubourg,vc n°503,réservoir d'eau de ste marthe,,47430,"44.433888888889, .148888888889",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,347006,5G NR 3500,,ZAC de Bon Puits,,,49480,"47.495, -.493611111111",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,436533,5G NR 3500,,30 r jb delambre,,,19100,"45.150833333333, 1.525",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,435644,LTE 2100,Martinfosse,Route nationale n°420,,,88000,"48.208333333333, 6.554722222222",Projet approuvé,En service,Projet approuvé
SFR,436578,5G NR 2100,Mt Blanc,r marquette d49,Tour DTRN,,59554,"50.200833333333, 3.221944444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,437390,LTE 700,Becquigny,PLAINE DE FRONTEBOSC,RD 67,,76570,"49.603333333333, .923333333333",Projet approuvé,En service,Projet approuvé
SFR,437390,LTE 2600,Becquigny,PLAINE DE FRONTEBOSC,RD 67,,76570,"49.603333333333, .923333333333",Projet approuvé,En service,Projet approuvé
SFR,437626,5G NR 2100,La Croix au loup,Les Pièces de Théval,D 912,,61400,"48.529166666667, .526666666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,438096,LTE 700,La Besnardière,r du square des Besnadières,,,14500,"48.833055555556, -.888611111111",Projet approuvé,En service,Projet approuvé
SFR,439157,5G NR 3500,Les Caillettes,bd  john kennedy rn 7,Résidence de l'Hermitage - Bat. F,,91100,"48.592222222222, 2.476388888889",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,439443,LTE 2600,Les Bergeries,ZI de la Plaine de l'Ain,,,1150,"45.854722222222, 5.2925",Projet approuvé,En service,Projet approuvé
SFR,440515,LTE 700,LE HUCEL,,,,74500,"46.398888888889, 6.704444444444",Projet approuvé,En service,Projet approuvé
SFR,440515,5G NR 2100,LE HUCEL,,,,74500,"46.398888888889, 6.704444444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,440282,LTE 2100,,Bd Lemeunier de la Raillère,Près du Chateau d'eau,,61140,"48.551388888889, -.408888888889",Projet approuvé,En service,Projet approuvé
SFR,440282,LTE 2600,,Bd Lemeunier de la Raillère,Près du Chateau d'eau,,61140,"48.551388888889, -.408888888889",Projet approuvé,En service,Projet approuvé
SFR,442029,LTE 2100,Pimourinq,,,,5700,"44.382777777778, 5.698333333333",Projet approuvé,En service,Projet approuvé
SFR,464597,LTE 700,,8 R DE LA POMME D'OR- LA GRACE DE DIEU,,,14000,"49.159722222222, -.357222222222",Projet approuvé,En service,Projet approuvé
SFR,458740,LTE 2600,,Route de Arles,,,30000,"43.821944444444, 4.388611111111",Projet approuvé,En service,Projet approuvé
SFR,469406,LTE 700,Les Treize Vents,9001 r des chanaux,Station TDF,,63530,"45.875277777778, 3.056944444444",Projet approuvé,En service,Projet approuvé
SFR,469406,5G NR 2100,Les Treize Vents,9001 r des chanaux,Station TDF,,63530,"45.875277777778, 3.056944444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,469406,5G NR 3500,Les Treize Vents,9001 r des chanaux,Station TDF,,63530,"45.875277777778, 3.056944444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,465869,5G NR 3500,LES JABOTS,RN 79,PROCHE ETANG DE LA DAME,,3400,"46.579722222222, 3.382222222222",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,467036,5G NR 3500,Bois Cahue,ZI - RN 13,,,78270,"49.034444444444, 1.5675",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,457343,LTE 700,LE PRE DE LA GROIE,,,,72210,"47.902222222222, .065833333333",Projet approuvé,En service,Projet approuvé
SFR,457343,LTE 2600,LE PRE DE LA GROIE,,,,72210,"47.902222222222, .065833333333",Projet approuvé,En service,Projet approuvé
SFR,460507,5G NR 2100,Le Cras,,,,68910,"48.121111111111, 7.199166666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,464127,LTE 2100,Testmaure Sud,D 5,Sablière,,33380,"44.688888888889, -.847222222222",Projet approuvé,En service,Projet approuvé
SFR,464127,LTE 2600,Testmaure Sud,D 5,Sablière,,33380,"44.688888888889, -.847222222222",Projet approuvé,En service,Projet approuvé
SFR,464127,5G NR 2100,Testmaure Sud,D 5,Sablière,,33380,"44.688888888889, -.847222222222",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,451368,5G NR 2100,,R DE KOAT PIN,D109 / Terrains de Sport,,29600,"48.533611111111, -3.782777777778",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,455005,5G NR 2100,HAUT DES PLANTES,chem du haut de phara,,,57170,"48.819166666667, 6.523888888889",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,452344,5G NR 3500,LA SABLIONNERE,r luccarini,GARE SNCF,,62880,"50.471388888889, 2.875833333333",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,452433,LTE 2100,Courpoil,D 967,,,2400,"49.120277777778, 3.47",Projet approuvé,En service,Projet approuvé
SFR,456385,5G NR 3500,,40bis r des etats unis,,,36000,"46.815277777778, 1.699444444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,453495,LTE 1800,LE CAZIER,R D'ECOSSE(EN BOUT DE RUE),,,59116,"50.692222222222, 2.903888888889",Projet approuvé,En service,Projet approuvé
SFR,453495,UMTS 900,LE CAZIER,R D'ECOSSE(EN BOUT DE RUE),,,59116,"50.692222222222, 2.903888888889",Projet approuvé,En service,Projet approuvé
SFR,450502,5G NR 2100,Saint-Mathieu,rue St-Mathieu,,,78550,"48.798611111111, 1.598055555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,450502,5G NR 3500,Saint-Mathieu,rue St-Mathieu,,,78550,"48.798611111111, 1.598055555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,450898,LTE 700,BOIS DES CLAIRETS,Chem dit de la Croix Catherine,,,61000,"48.413333333333, .033611111111",Projet approuvé,En service,Projet approuvé
SFR,450898,LTE 2600,BOIS DES CLAIRETS,Chem dit de la Croix Catherine,,,61000,"48.413333333333, .033611111111",Projet approuvé,En service,Projet approuvé
SFR,486347,LTE 2600,LE CHAMP DU PRESSOIR,,,,35160,"48.148611111111, -1.893611111111",Projet approuvé,En service,Projet approuvé
SFR,486869,5G NR 3500,,25 R DU ROC,CHATEAU D'EAU,,61700,"48.591944444444, -.635833333333",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,487159,LTE 2100,LE RENVERS,,,,39100,"47.136111111111, 5.506111111111",Projet approuvé,En service,Projet approuvé
SFR,492601,LTE 700,Le Petit Hetre,rte de Malicorne,,,72210,"47.881944444444, .021666666667",Projet approuvé,En service,Projet approuvé
SFR,492601,LTE 2100,Le Petit Hetre,rte de Malicorne,,,72210,"47.881944444444, .021666666667",Projet approuvé,En service,Projet approuvé
SFR,492601,LTE 2600,Le Petit Hetre,rte de Malicorne,,,72210,"47.881944444444, .021666666667",Projet approuvé,En service,Projet approuvé
SFR,492601,5G NR 2100,Le Petit Hetre,rte de Malicorne,,,72210,"47.881944444444, .021666666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,492601,5G NR 3500,Le Petit Hetre,rte de Malicorne,,,72210,"47.881944444444, .021666666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,492648,5G NR 3500,,R JOLIOT CURIE PROLONGÉE,C D n° 35,CH D'EAU,18400,"46.989166666667, 2.249722222222",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,492736,5G NR 2100,LA GRACERIE,HAMEAU DE CRAN,,,50380,"48.797222222222, -1.516388888889",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,501261,LTE 2100,,ALL D'HALVER,IMM SEQUOIA,,59330,"50.255833333333, 3.9025",Projet approuvé,En service,Projet approuvé
SFR,505312,5G NR 3500,LES GROUETS,Près Départementale 89,,,35610,"48.569166666667, -1.614166666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,505379,5G NR 3500,,RTE DU CIMETIÈRE,CH D'EAU,,30800,"43.679166666667, 4.435277777778",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,501523,LTE 700,AU SENTIER DE LA PROCESSION,R DE LA FONTAINE ST VAAST,,,80120,"50.318333333333, 1.635555555556",Projet approuvé,En service,Projet approuvé
SFR,501523,LTE 2100,AU SENTIER DE LA PROCESSION,R DE LA FONTAINE ST VAAST,,,80120,"50.318333333333, 1.635555555556",Projet approuvé,En service,Projet approuvé
SFR,485419,5G NR 3500,Les Balmes,Réservoir Fond Margat,,,69460,"46.044722222222, 4.604166666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,497839,LTE 2100,,76 AV DE MARBOZ,,,1000,"46.223611111111, 5.230555555556",Projet approuvé,En service,Projet approuvé
SFR,497839,5G NR 2100,,76 AV DE MARBOZ,,,1000,"46.223611111111, 5.230555555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,485445,5G NR 2100,,26 r de l'ile de france,Résidence Les Champs Longs,,74100,"46.188055555556, 6.245555555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,485445,5G NR 3500,,26 r de l'ile de france,Résidence Les Champs Longs,,74100,"46.188055555556, 6.245555555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,502683,LTE 2100,Serre de la Grange,r madier,,,30430,"44.235277777778, 4.34",Projet approuvé,En service,Projet approuvé
SFR,502683,5G NR 2100,Serre de la Grange,r madier,,,30430,"44.235277777778, 4.34",Projet approuvé,Techniquement opérationnel,Projet approuvé
