id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1035588,ORANGE,5G NR 700,AVENUE DE JOURDANE (LE COUDE) 33440 AMBARES ET LAGRAVE,33003,"44.9383,-0.5194",Pylône autostable,30m,TOTEM,2025-12-22,ALL,,False,False
1286105,SFR,"LTE 2100, 5G NR 2100, 5G NR 3500",PRÈS D96 STATION ÉPURATION (LE QUARTERON DU PONT) 44250 ST BREVIN LES PINS,44154,"47.2164,-2.1489",Pylône tubulaire,35m,HIVORY,2025-12-31,ALL,,False,False
1293367,FREE MOBILE,LTE 900,16 IMPASSE JACQUARD 87280 LIMOGES,87085,"45.8397,1.2703",Pylône autostable,"38,6m",HIVORY,2026-01-06,ALL,,False,False
1331756,BOUYGUES TELECOM,5G NR 2100,V COM. N° 2  DITE DE OINVILLE 78250 HARDRICOURT,78299,"49.01,1.8872",Pylône autostable,34m,"Commune, communauté de communes",2025-12-23,ALL,,False,False
1381838,SFR,5G NR 2100, (PERBREGAT) 22200 POMMERIT LE VICOMTE,22248,"48.6228,-3.1303",Pylône autostable,43m,TDF,2026-01-06,ALL,,False,False
1388842,FREE MOBILE,LTE 900,119 BOULEVARD ROBERT SCHUMAN HÔTEL CLARINE 93190 LIVRY GARGAN,93046,"48.9322,2.5578",Immeuble,20m,Société Privée,2026-01-06,ALL,,False,False
1392152,FREE MOBILE,LTE 700,CHEM RURAL DU COUDOULET SUD ZAC PORT SUD 84100 ORANGE,84087,"44.1125,4.8428",Pylône autostable,31m,TOTEM,2026-01-06,ALL,,False,False
1414700,ORANGE,5G NR 700,RUE DE LA FONTAINE FROIDE STATION TDF DE LA BLANQUETTE 34090 MONTPELLIER,34172,"43.6458,3.8464",Pylône autostable,65m,TDF,2025-12-18,ALL,,False,False
1418575,FREE MOBILE,LTE 900,25 RUE EDMOND TURCQ 95260 BEAUMONT SUR OISE,95052,"49.1447,2.2914",Bâtiment,25m,Établissement de soins,2026-01-06,ALL,,False,False
1444806,BOUYGUES TELECOM,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",D 125 (BLANCHONNE) 26120 MONTMEYRAN,26206,"44.8228,4.9681",Pylône autostable,41m,TOTEM,2025-12-31,ALL,,False,True
1452188,BOUYGUES TELECOM,5G NR 2100, (BUSSARD) 41310 ST AMAND LONGPRE,41199,"47.6944,0.9903",Pylône autostable,36m,TDF,2025-12-29,ALL,,False,False
1465918,ORANGE,LTE 700,ROUTE DES MONTILS CHÂTEAU D'EAU (LE GRAND VILLAGE) 37530 MOSNES,37161,"47.4408,1.0872",Château d'eau - réservoir,29m,"Commune, communauté de communes",2026-01-14,AAV,,False,False
1466566,BOUYGUES TELECOM,5G NR 2100,66 R HENRI LEGAY RÉSIDENCE HENRI LEGAY 69100 VILLEURBANNE,69266,"45.755,4.9161",Immeuble,"32,8m","Copropriété, Syndic, SCI",2025-12-26,ALL,,False,False
1475927,FREE MOBILE,LTE 700,LIGNE SNCF KOENIGSHOFFEN/STRASBOURG (HOUSBERGEN) 67200 STRASBOURG,67482,"48.5783,7.7089",Pylône autostable,35m,TOTEM,2026-01-19,AAV,,False,False
1483284,ORANGE,5G NR 700,AVENUE DE BARRÈRE (PETION DE GASSANE) 40390 ST MARTIN DE SEIGNANX,40273,"43.5375,-1.3894",Pylône tubulaire,31m,TOTEM,2026-01-06,ALL,,False,False
1483765,BOUYGUES TELECOM,LTE 2600, (LE MOIRON) 38610 GIERES,38179,"45.1875,5.7986",Pylône tubulaire,28m,ATC FRANCE,2025-12-23,ALL,,False,False
1490084,BOUYGUES TELECOM,"LTE 1800, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",CR N° 5 RTE DE PEN AR PONT (LE CARPONT) 29810 PLOUARZEL,29177,"48.4542,-4.7542",Pylône autostable,"30,5m",TOTEM,2025-12-23,ALL,,False,False
1490122,ORANGE,LTE 700,CR N° 12 DE CHILOUP (LE PETIT CHILOUP) 41170 COUETRON AU PERCHE,41248,"48.0897,0.8822",Pylône autostable,34m,TOTEM,2026-01-08,ALL,,False,False
1559589,BOUYGUES TELECOM,"LTE 2100, 5G NR 2100",RTE DE ST PONS DE MAUCHIENS (RACADIES) 34230 ST PARGOIRE,34281,"43.5236,3.5172",Pylône autostable,23m,ATC FRANCE,2025-12-29,ALL,,False,False
1568736,BOUYGUES TELECOM,"LTE 2100, 5G NR 2100",PL PIERRE SÉMARD GARE SNCF 30100 ALES,30007,"44.1278,4.0897",Pylône autostable,37m,SFR,2025-12-29,ALL,,False,False
1573490,BOUYGUES TELECOM,LTE 2100,CHEM MALOGINESTE (RESIDENCE VAL D'OR) 83140 SIX FOURS LES PLAGES,83129,"43.0822,5.8169",Pylône autostable,"17,1m",BOUYGUES,2025-12-22,ALL,,False,False
1580321,BOUYGUES TELECOM,5G NR 2100, (BOIS D'AUGY) 18140 SANCERGUES,18240,"47.1372,2.91",Pylône autostable,32m,HIVORY,2025-12-29,ALL,,False,False
1602453,BOUYGUES TELECOM,,9 R DE L'ILL 68350 BRUNSTATT DIDENHEIM,68056,"47.7286,7.3186",Pylône tubulaire,"38,4m",ON TOWER FRANCE,2022-12-14,CHH,36m,False,False
1602453,FREE MOBILE,,9 R DE L'ILL 68350 BRUNSTATT DIDENHEIM,68056,"47.7286,7.3186",Pylône tubulaire,"38,4m",ON TOWER FRANCE,2022-11-11,CHH,36m,False,False
1619429,ORANGE,LTE 700,LA VERDERIE (LE BIGNON) 44370 MONTRELAIS,44104,"47.3981,-0.9722",Pylône autostable,30m,TOTEM,2026-01-05,ALL,,False,False
1644903,SFR,"5G NR 2100, 5G NR 3500",R PAUL BERT 44600 ST NAZAIRE,44184,"47.2931,-2.1972",Pylône tubulaire,27m,HIVORY,2025-12-31,ALL,,False,False
1652631,ORANGE,LTE 700,CHEMIN RURAL EDF MEUR (LES TILLES) 21190 TAILLY,21616,"46.9647,4.8017",Pylône autostable,36m,TOTEM,2026-01-08,ALL,,False,False
1656447,BOUYGUES TELECOM,"GSM 900, UMTS 900", (VIVOUR) 87260 ST HILAIRE BONNEVAL,87148,"45.7281,1.3519",Pylône autostable,"39,3m",TDF,1999-05-03,SUP,,False,False
1666355,ORANGE,"UMTS 900, LTE 1800", (HAUT DE SERRES) 54370 SERRES,54502,"48.6778,6.4692",Pylône autostable,"47,8m",HIVORY,2025-12-24,ALL,,False,False
1671417,BOUYGUES TELECOM,LTE 2100,LES PLANCHES (L'OUILLÈRE) 53320 LOIRON RUILLE,53137,"48.0403,-0.9336",Pylône autostable,"30,4m",TDF,2025-12-29,ALL,,False,False
1671417,SFR,LTE 2100,LES PLANCHES (L'OUILLÈRE) 53320 LOIRON RUILLE,53137,"48.0403,-0.9336",Pylône autostable,"30,4m",TDF,2026-01-06,ALL,,False,False
1673429,SFR,5G NR 3500,RN 112 (PRATPAYSSOU) 34500 BEZIERS,34032,"43.35,3.1342",Pylône tubulaire,15m,Société Privée,2025-12-31,ALL,,False,False
1681087,ORANGE,"LTE 800, 5G NR 700",50 RUE DE NARBEFONTAINE CD 19 (SPANNAL) 57220 BROUCK,57112,"49.1286,6.5094",Pylône autostable,35m,TDF,2026-01-16,AAV,,False,True
1682880,BOUYGUES TELECOM,"LTE 2100, 5G NR 2100",CASTEL MUS/A75 (BAUMESCURE) 12490 LA BASTIDE PRADINES,12022,"44.0392,3.0631",Pylône autostable,33m,ATC FRANCE,2025-12-31,ALL,,False,False
1682880,SFR,"LTE 700, LTE 1800",CASTEL MUS/A75 (BAUMESCURE) 12490 LA BASTIDE PRADINES,12022,"44.0392,3.0631",Pylône autostable,33m,ATC FRANCE,2025-12-31,ALL,,False,False
1685129,BOUYGUES TELECOM,LTE 2100, (LA MAISON NEUVE) 72300 AUVERS LE HAMON,72016,"47.9083,-0.3292",Pylône autostable,"30,4m",TDF,2025-12-29,ALL,,False,False
1694773,SFR,5G NR 2100, (LA BROUSSE AU PRETRE) 86700 ANCHE,86003,"46.3419,0.2511",Pylône autostable,"32,8m",HIVORY,2025-12-31,ALL,,False,False
1694815,BOUYGUES TELECOM,LTE 700,RTE N85 (LA GROSSE COUASSE) 04000 DIGNE LES BAINS,04070,"44.0486,6.205",Pylône tubulaire,"13,2m",HIVORY,2025-01-09,ALL,,False,False
1696311,SFR,5G NR 2100, (BERGERAY) 53170 ST DENIS DU MAINE,53212,"47.9986,-0.5275",Pylône autostable,"30,4m",TDF,2025-12-31,ALL,,False,False
1700250,ORANGE,5G NR 700,LA PIÈCE DES FONTAINES (LE COTEAU) 72470 ST MARS LA BRIERE,72300,"48.0386,0.3642",Pylône autostable,36m,"Commune, communauté de communes",2026-01-08,ALL,,False,False
1701340,ORANGE,UMTS 900,PUY AURIOL (LES BERNIES) 24350 LA CHAPELLE GONAGUET,24108,"45.2239,0.6011",Pylône autostable,35m,HIVORY,2025-12-29,ALL,,True,False
