id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1016278,FREE MOBILE,ALL,LTE 900,7 AVENUE DU LAS (LES CHAMPS ELYSEES) 83200 TOULON,83137,"43.1275,5.9178",Bâtiment,"35,7m","Copropriété, Syndic, SCI",2025-09-08,False,False
1016290,FREE MOBILE,ALL,LTE 900,1 RUE DE STRASBOURG 94700 MAISONS ALFORT,94046,"48.795,2.4342",Immeuble,25m,Société HLM,2025-09-08,False,False
1016802,FREE MOBILE,ALL,LTE 900,174 AV DU 24 AVRIL 1915 13012 MARSEILLE 12,13212,"43.3081,5.4361",Immeuble,19m,"Copropriété, Syndic, SCI",2025-09-08,False,False
1016857,FREE MOBILE,AJO,LTE 900,138 AVENUE BERTHELOT 69007 LYON 07,69387,"45.7428,4.8494",Immeuble,"34,7m","Copropriété, Syndic, SCI",,False,False
1021040,ORANGE,SUP,UMTS 900,79 RUE DU TAUR 31500 TOULOUSE,31555,"43.6078,1.4419",Immeuble,23m,"Copropriété, Syndic, SCI",,False,False
1023482,FREE MOBILE,AJO,LTE 900,20 CHEMIN DES PLANCHES 25000 BESANCON,25056,"47.2656,6.0375",Pylône tubulaire,26m,ON TOWER FRANCE,,False,False
1023484,FREE MOBILE,ALL,LTE 900,27 A BOULEVARD GAMBETTA 30100 ALES,30007,"44.1242,4.0836",Immeuble,"34,7m","Copropriété, Syndic, SCI",2025-09-08,False,False
1029094,FREE MOBILE,ALL,LTE 900,4 BOULEVARD GAMBETTA 27000 EVREUX,27229,"49.0183,1.1453",Pylône tubulaire,"20,5m",ON TOWER FRANCE,2025-09-08,False,False
1038476,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",CHE DE VILLENEUVE (LE MÛRIER) 38610 GIERES,38179,"45.1697,5.7861",Mât métallique,7m,TOTEM,1997-10-03,False,False
1040302,FREE MOBILE,ALL,LTE 900,43 R DU 13 OCTOBRE 1918 02000 LAON,02408,"49.5647,3.6114",Château d'eau - réservoir,38m,"Commune, communauté de communes",2025-09-08,False,False
1041066,FREE MOBILE,ALL,LTE 900,3 RUE GASTON DEFFERRE 90000 BELFORT,90010,"47.6389,6.8531",Bâtiment,"21,2m","Copropriété, Syndic, SCI",2025-09-08,False,False
1041816,SRR,AJO,"LTE 700, LTE 2100, 5G NR 3500",5 RUELLES DES BALSAMINES (LE BRAS CREUX) 97430 LE TAMPON,97422,"-21.2614,55.5331",Bâtiment,"13,6m",Particulier,,False,False
1041816,SRR,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2600",5 RUELLES DES BALSAMINES (LE BRAS CREUX) 97430 LE TAMPON,97422,"-21.2614,55.5331",Bâtiment,"13,6m",Particulier,2018-04-09,False,False
1041816,SRR,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",5 RUELLES DES BALSAMINES (LE BRAS CREUX) 97430 LE TAMPON,97422,"-21.2614,55.5331",Bâtiment,"13,6m",Particulier,2018-04-09,False,False
1042268,FREE MOBILE,ALL,LTE 900,3 CHEMIN DES TORCOLS 25000 BESANCON,25056,"47.2597,6.0147",Pylône tubulaire,26m,"Commune, communauté de communes",2025-09-08,False,False
1052058,FREE MOBILE,AJO,LTE 900,1 RUE MARTIN LUTHER KING 34500 BEZIERS,34032,"43.3261,3.2519",Pylône tubulaire,27m,ON TOWER FRANCE,,False,False
105240,ORANGE,AJO,"LTE 1800, 5G NR 2100",CHEM RURAL (LA PERRIÈRE) 79290 VAL EN VIGNES,79063,"47.0083,-0.3472",Pylône autostable,36m,TOTEM,,False,False
1057942,FREE MOBILE,ALL,LTE 900,RUE DE LA COMBE MIREY 25400 AUDINCOURT,25031,"47.4772,6.8586",Pylône tubulaire,35m,ON TOWER FRANCE,2025-09-08,False,False
1059306,FREE MOBILE,AJO,LTE 900,791 ROUTE DE COURBESSAC 30900 NIMES,30189,"43.8514,4.3958",Immeuble,"18,5m","Copropriété, Syndic, SCI",,False,False
106252,ORANGE,SUP,"GSM 900, UMTS 900",38 R DU MOUTON 84200 CARPENTRAS,84031,"44.0567,5.0481",Immeuble,19m,Société HLM,1998-11-14,True,False
1094215,FREE MOBILE,ALL,LTE 900,66 AV DE PROVENCE 13300 SALON DE PROVENCE,13103,"43.6536,5.0983",Immeuble,53m,"Copropriété, Syndic, SCI",2025-09-08,False,False
1183820,FREE MOBILE,AJO,LTE 900, (CHAMP DE BELPECH) 24520 MOULEYDIER,24296,"44.855,0.6022",Pylône autostable,33m,TDF,,False,False
118450,DIGICEL,AJO,LTE 900,MORNE DANIEL - RÉSERVOIR (R CASE NEGRE) 97230 STE MARIE,97228,"14.7744,-60.9919",Pylône autostable,"15,5m",DIGICEL,,False,False
118450,DIGICEL,SUP,GSM 900,MORNE DANIEL - RÉSERVOIR (R CASE NEGRE) 97230 STE MARIE,97228,"14.7744,-60.9919",Pylône autostable,"15,5m",DIGICEL,2011-02-06,False,False
118450,FREE CARAIBES,AJO,UMTS 900,MORNE DANIEL - RÉSERVOIR (R CASE NEGRE) 97230 STE MARIE,97228,"14.7744,-60.9919",Pylône autostable,"15,5m",DIGICEL,,False,False
1185573,BOUYGUES TELECOM,ALL,LTE 700,19 R DE PARIS 78230 LE PECQ,78481,"48.8956,2.1056",Immeuble,"25,6m",Société HLM,2025-08-06,False,False
1191331,FREE MOBILE,ALL,LTE 900,CHEMIN DU POUVEREL (LES AUBREAGADES) 83390 CUERS,83049,"43.2358,6.0842",Pylône autostable,22m,BOUYGUES,2025-09-08,False,False
1200489,FREE MOBILE,AJO,LTE 900,CHEMIN DE LA CASCADE OUEST (LA FONT D'ARQUES) 30820 CAVEIRAC,30075,"43.8314,4.2586",Pylône autostable,16m,TOTEM,,False,False
1200506,ORANGE,ALL,"5G NR 700, 5G NR 3500",R DES BOLLIETS (LA CONTAMINE) 74140 DOUVAINE,74105,"46.3075,6.3011",Pylône tubulaire,20m,TOTEM,2025-09-11,False,False
1206063,FREE MOBILE,ALL,LTE 900,43 BOULEVARD DE LA REPUBLIQUE 47000 AGEN,47001,"44.2047,0.6158",Immeuble,37m,"Copropriété, Syndic, SCI",2025-09-08,False,False
1206711,FREE MOBILE,ALL,LTE 900,3 PL DES CARMES 31500 TOULOUSE,31555,"43.5975,1.4442",Immeuble,25m,"Copropriété, Syndic, SCI",2025-09-08,False,False
1213362,FREE MOBILE,AJO,LTE 900,6 PLACE FÃ©LIX EBOUÃ© 75012 PARIS 12,75112,"48.8392,2.3958",Bâtiment,"31,5m","Copropriété, Syndic, SCI",,False,False
1213366,FREE MOBILE,AJO,LTE 900,LE CHEMIN GALLET (LES BOULEAUX DE FRESNE) 27950 LA CHAPELLE LONGUEVILLE,27554,"49.0881,1.3619",Château d'eau - réservoir,60m,"Syndicat des eaux, Adduction",,False,False
1215506,FREE MOBILE,ALL,LTE 900,"30,32 AV EDISON 75013 PARIS 13",75113,"48.8286,2.3633",Immeuble,"42,2m",Société HLM,2025-09-08,False,False
1237586,FREE MOBILE,ALL,LTE 900,9 RUE AUGUSTE KEUFER 42230 ST ETIENNE,42218,"45.4092,4.3839",Immeuble,"36,3m","Copropriété, Syndic, SCI",2025-09-08,False,False
1238069,FREE MOBILE,ALL,LTE 900,"11, RUE DE MULHOUSE 67540 OSTWALD",67365,"48.5394,7.7131",Immeuble,"28,5m",Société HLM,2025-09-08,False,False
1272742,FREE MOBILE,AJO,LTE 900,17 ALLÉE PIERRE CORNEILLE 95400 VILLIERS LE BEL,95680,"49.0008,2.4164",Immeuble,"41,5m","Copropriété, Syndic, SCI",,False,False
1272791,FREE MOBILE,ALL,LTE 900, (LES GRANDS BOIS) 25200 GRAND CHARMONT,25284,"47.5375,6.8344",Pylône autostable,30m,ON TOWER FRANCE,2025-09-08,False,False
1272804,FREE MOBILE,ALL,LTE 900,67 R THÉODORE RIBOT STADE HÉLÈNE BOUCHER 22000 ST BRIEUC,22278,"48.5175,-2.7814",Pylône tubulaire,25m,TOTEM,2025-09-08,False,False
1272811,FREE MOBILE,AJO,LTE 900,CHEMIN DE BOURGANEUF À PONTARION (LA TERRADE) 23400 BOURGANEUF,23030,"45.9564,1.7708",Pylône autostable,41m,TDF,,False,False
1273458,FREE MOBILE,ALL,LTE 900,21 B RUE VICTOR BASCH 95190 GOUSSAINVILLE,95280,"49.03,2.4747",Château d'eau - réservoir,"31,7m","Syndicat des eaux, Adduction",2025-09-08,False,False
1276572,FREE MOBILE,AJO,LTE 900,RD 22  DE VILLEBRUMIER À MEZENS (BELLEVUE) 31660 BUZET SUR TARN,31094,"43.7964,1.6242",Pylône autostable,"24,7m",TDF,,False,False
1276645,SRR,AJO,"LTE 700, LTE 2100, LTE 2600, 5G NR 3500",ROUTE DES TAMARINS ECHANGEUR N1 D6 (PLATEAU CAILLOU) 97460 ST PAUL,97415,"-21.0214,55.2561",Pylône autostable,20m,Société Réunionnaise de Radiotéléphonie,,False,False
1276645,SRR,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",ROUTE DES TAMARINS ECHANGEUR N1 D6 (PLATEAU CAILLOU) 97460 ST PAUL,97415,"-21.0214,55.2561",Pylône autostable,20m,Société Réunionnaise de Radiotéléphonie,2013-06-27,False,False
1276645,SRR,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",ROUTE DES TAMARINS ECHANGEUR N1 D6 (PLATEAU CAILLOU) 97460 ST PAUL,97415,"-21.0214,55.2561",Pylône autostable,20m,Société Réunionnaise de Radiotéléphonie,2013-06-27,False,False
1277952,FREE MOBILE,AJO,LTE 900,COMPLEXE SPORTIF DE ROSEMONT  RUE DES VIGNERONS 25000 BESANCON,25056,"47.2258,5.9917",Pylône tubulaire,"25,1m",ON TOWER FRANCE,,False,False
1281452,FREE MOBILE,AJO,LTE 900,196 AV D'ARGENTON (LES LUCIOLES) 36000 CHATEAUROUX,36044,"46.8003,1.6664",Pylône autostable,30m,TOTEM,,False,False
1284682,ORANGE,ALL,5G NR 700,RUE GEORGES CADOUDAL CHAMP DU PINEGUI 56450 SURZUR,56248,"47.5842,-2.6303",Pylône autostable,30m,TOTEM,2025-09-11,False,False
1286568,FREE MOBILE,ALL,LTE 900,4 RUE DE LA MADELEINE 45140 ST JEAN DE LA RUELLE,45285,"47.8994,1.8764",Immeuble,"33,2m","Copropriété, Syndic, SCI",2025-09-08,False,False
1287114,FREE MOBILE,ALL,LTE 900,2 R ST JOSEPH 49100 ANGERS,49007,"47.4672,-0.5467",Monument religieux,55m,"Commune, communauté de communes",2025-09-08,False,False
1288107,FREE MOBILE,AJO,LTE 900,23 RUE DE BELLEVUE 27000 EVREUX,27229,"49.0186,1.1614",Immeuble,22m,"Copropriété, Syndic, SCI",,False,False
1292132,FREE MOBILE,AJO,LTE 900,RTE DU CAP FERRET (CARQUILLAS) 33138 LANTON,33229,"44.7781,-1.0464",Pylône autostable,"51,5m",TDF,,False,False
1297123,FREE MOBILE,ALL,LTE 900,18 RUE PAUL BERT 92100 BOULOGNE BILLANCOURT,92012,"48.8339,2.24",Immeuble,"27,5m","Copropriété, Syndic, SCI",2025-09-08,False,False
1299931,FREE MOBILE,AJO,LTE 900,2 R AMPERE ZA DES FADEAUX N°1 (LES FADEAUX) 36000 CHATEAUROUX,36044,"46.8153,1.7233",Pylône autostable,47m,SFR,,False,False
1302573,FREE MOBILE,ALL,LTE 900,46 RUE LABAT 75018 PARIS 18,75118,"48.8892,2.3475",Immeuble,"25,8m","Copropriété, Syndic, SCI",2025-09-08,False,False
1304853,FREE MOBILE,ALL,LTE 900,134 AVENUE DE NANTES 79000 NIORT,79191,"46.3425,-0.4906",Pylône autostable,"32,8m",ON TOWER FRANCE,2025-09-08,False,False
1305948,FREE MOBILE,ALL,LTE 900,243 RUE JUDAIQUE 33800 BORDEAUX,33063,"44.8406,-0.5975",Immeuble,"26,7m","Copropriété, Syndic, SCI",2025-09-08,False,False
1305952,FREE MOBILE,AJO,LTE 900,27 RUE SAINT VINCENT DE PAUL 33800 BORDEAUX,33063,"44.8264,-0.5578",Immeuble,"58,6m","Copropriété, Syndic, SCI",,False,False
1314318,ORANGE,ALL,5G NR 700,STADE MUNICIPAL (BIOLAY) 01370 ST ETIENNE DU BOIS,01350,"46.2894,5.3014",Pylône tubulaire,23m,TOTEM,2025-09-08,False,False
