id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1010936,FREE MOBILE,AJO,LTE 900,6 RUE VICTOR HUGO 91300 MASSY,91377,"48.7358,2.2594",Bâtiment,"48,8m","Copropriété, Syndic, SCI",,False,False
1014807,TELCO OI,AJO,"LTE 2100, LTE 2600, 5G NR 700",CHEM DES MILITAIRES (PITON DESFORGES) 97430 LE TAMPON,97422,"-21.1961,55.5744",Bâtiment,13m,ORANGE Services Fixes,,False,False
1014807,TELCO OI,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",CHEM DES MILITAIRES (PITON DESFORGES) 97430 LE TAMPON,97422,"-21.1961,55.5744",Bâtiment,13m,ORANGE Services Fixes,2006-12-31,False,False
1014807,TELCO OI,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",CHEM DES MILITAIRES (PITON DESFORGES) 97430 LE TAMPON,97422,"-21.1961,55.5744",Bâtiment,13m,ORANGE Services Fixes,2006-12-31,False,False
1016682,FREE MOBILE,AJO,LTE 900,2 RUE DES BOULEAUX 44600 ST NAZAIRE,44184,"47.2614,-2.2597",Immeuble,"33,3m",Société HLM,,False,False
1017846,ORANGE,ALL,"5G NR 700, 5G NR 3500", (MEYMATTEN) 67650 DAMBACH LA VILLE,67084,"48.3178,7.4347",Pylône autostable,33m,TOTEM,2025-09-11,False,False
1019277,FREE MOBILE,AJO,LTE 900,2 ALLEE DE L  ESSONNE 91100 CORBEIL ESSONNES,91174,"48.6042,2.4628",Immeuble,"29,3m",Société HLM,,False,False
1029102,FREE MOBILE,ALL,LTE 900,10 RUE JEAN MOULIN SETE 34200 SETE,34301,"43.4092,3.6903",Bâtiment,"26,2m","Copropriété, Syndic, SCI",2025-09-15,False,False
1041816,SRR,AJO,"LTE 700, LTE 2100, 5G NR 3500",5 RUELLES DES BALSAMINES (LE BRAS CREUX) 97430 LE TAMPON,97422,"-21.2614,55.5331",Bâtiment,"13,6m",Particulier,,False,False
1041816,SRR,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2600",5 RUELLES DES BALSAMINES (LE BRAS CREUX) 97430 LE TAMPON,97422,"-21.2614,55.5331",Bâtiment,"13,6m",Particulier,2018-04-09,False,False
1041816,SRR,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",5 RUELLES DES BALSAMINES (LE BRAS CREUX) 97430 LE TAMPON,97422,"-21.2614,55.5331",Bâtiment,"13,6m",Particulier,2018-04-09,False,False
1042288,FREE MOBILE,AJO,LTE 900,RUE PONSON DU TERRAIL  45100 ORLEANS,45234,"47.9211,1.8944",Château d'eau - réservoir,"30,8m","Commune, communauté de communes",,False,False
105442,ORANGE,ALL,5G NR 2100,VOIE RURALE DITE DE DERRIÈRE LES HAIES (LA PETITE CROIX) 80120 FOREST MONTIERS,80332,"50.2414,1.7433",Pylône autostable,"46,6m",HIVORY,2025-09-03,False,False
1055429,TELCO OI,AJO,5G NR 3500,CHEMIN DE LA VIGIE (LA VIGIE) 97615 PAMANDZI,97615,"-12.7925,45.2889",Pylône autostable,25m,Telco OI,,False,False
1055502,SFR,SUP,UMTS 2100,ESPLANADE GEORGES POMPIDOU PALAIS DES FESTIVALS 06400 CANNES,06029,"43.5494,7.0172",Bâtiment,13m,Société Privée,2005-07-29,False,False
1059869,FREE MOBILE,AJO,LTE 900,LOU CHAOUSSE (LE CAUSSE) 48000 BADAROUX,48013,"44.5225,3.5508",Pylône autostable,33m,TDF,,False,False
1151809,ORANGE,AJO,"5G NR 700, 5G NR 3500",69 RUE DUGUESCLIN 69006 LYON 06,69386,"45.7711,4.8472",Immeuble,"28,3m","Copropriété, Syndic, SCI",,False,False
1183761,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",5 - 7 AVENUE DOCTEUR VICTOR ROBINI 06300 NICE,06088,"43.6828,7.2006",Bâtiment,24m,"Copropriété, Syndic, SCI",1996-09-06,False,False
118450,DIGICEL,ALL,LTE 900,MORNE DANIEL - RÉSERVOIR (R CASE NEGRE) 97230 STE MARIE,97228,"14.7744,-60.9919",Pylône autostable,"15,5m",DIGICEL,2025-06-01,False,False
118450,FREE CARAIBES,ALL,UMTS 900,MORNE DANIEL - RÉSERVOIR (R CASE NEGRE) 97230 STE MARIE,97228,"14.7744,-60.9919",Pylône autostable,"15,5m",DIGICEL,2025-06-01,False,False
118480,DIGICEL,ALL,LTE 900,BOIS ROUGE - OASIS 97224 DUCOS,97207,"14.6022,-60.9728",Bâtiment,17m,Société Privée,2025-06-01,False,False
118480,FREE CARAIBES,ALL,UMTS 900,BOIS ROUGE - OASIS 97224 DUCOS,97207,"14.6022,-60.9728",Bâtiment,17m,Société Privée,2025-06-01,False,False
1185501,SFR,SUP,GSM 900,CHEMIN DE LA TRUQUE 30250 VILLEVIEILLE,30352,"43.7878,4.0983",Château d'eau - réservoir,52m,"Syndicat des eaux, Adduction",,False,False
1188854,FREE MOBILE,AJO,5G NR 3500,RUE DES FRERES JAMAIN (STADE HENRI ROBIN) 17300 ROCHEFORT,17299,"45.9369,-0.9811",Pylône tubulaire,"30,7m",ON TOWER FRANCE,,False,False
1206659,FREE MOBILE,AJO,LTE 900,19 RUE MARTIN LUTHER KING 42230 ST ETIENNE,42218,"45.4172,4.3772",Pylône autostable,30m,ON TOWER FRANCE,,False,False
1207239,TELCO OI,AJO,"LTE 2100, LTE 2600, 5G NR 700",RD 4 (RASSI NGOUJA) 97625 KANI KELI,97609,"-12.9589,45.0844",Mât béton,14m,Particulier,,False,False
1207239,TELCO OI,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",RD 4 (RASSI NGOUJA) 97625 KANI KELI,97609,"-12.9589,45.0844",Mât béton,14m,Particulier,2013-05-29,False,False
1207239,TELCO OI,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",RD 4 (RASSI NGOUJA) 97625 KANI KELI,97609,"-12.9589,45.0844",Mât béton,14m,Particulier,2013-05-29,False,False
1209093,ORANGE,ALL,5G NR 2100,CHEMIN RURAL DIT LE VIEUX MOULIN TERRAIN COMMUNAL 02110 SEBONCOURT,02703,"49.9478,3.4758",Pylône tubulaire,24m,TOTEM,2025-09-10,False,False
1214806,ORANGE,ALL,"5G NR 700, 5G NR 3500","11, PLACE GAMBETTA LA POSTE 62170 MONTREUIL SUR MER",62588,"50.4644,1.7628",Bâtiment,27m,ORANGE Services Fixes,2025-09-03,False,False
1272754,FREE MOBILE,AJO,LTE 900,17 RUE EDMOND DUBUIS 92000 NANTERRE,92050,"48.8903,2.22",Immeuble,"27,4m",Société HLM,,False,False
1276645,SRR,AJO,"LTE 700, LTE 2100, LTE 2600, 5G NR 3500",ROUTE DES TAMARINS ECHANGEUR N1 D6 (PLATEAU CAILLOU) 97460 ST PAUL,97415,"-21.0214,55.2561",Pylône autostable,20m,Société Réunionnaise de Radiotéléphonie,,False,False
1276645,SRR,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",ROUTE DES TAMARINS ECHANGEUR N1 D6 (PLATEAU CAILLOU) 97460 ST PAUL,97415,"-21.0214,55.2561",Pylône autostable,20m,Société Réunionnaise de Radiotéléphonie,2013-06-27,False,False
