id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1006595,FREE MOBILE,LTE 800,RTE DE TANUES D52 (TANUES) 15250 AYRENS,15016,"44.9822,2.335",Pylône autostable,30m,TDF,AJO,,50|290,,False,False
1007085,FREE MOBILE,LTE 800,CHEM DU CASTEL À AIGUILLANES (LAS RIVES) 09300 LESPARROU,09165,"42.9364,1.9122",Pylône autostable,36m,TOTEM,AJO,,110|225|300,,True,False
1015219,FREE MOBILE,LTE 800, (A LAMOTHE) 32400 GOUX,32151,"43.6194,-0.0344",Pylône autostable,43m,TOTEM,AJO,,20|120|250,,True,False
1019340,FREE MOBILE,LTE 800,D 126 (BOUSSAS) 32160 COULOUME MONDEBAT,32109,"43.6156,0.1258",Pylône autostable,35m,Conseil Départemental,AJO,,30|130|270,,True,False
1028229,FREE MOBILE,LTE 800,RTE DE LA BUSSIERE - LES FORGES (LA PELADE) 23140 CRESSAT,23068,"46.1383,2.0956",Château d'eau - réservoir,37m,"Syndicat des eaux, Adduction",AJO,,60|180|300,,True,False
1042377,FREE MOBILE,LTE 800,VC N°2 DITE DE VERNOT GR 7 DE TARSUL À VERNOT (LA CANCONNIÈRE) 21120 TARSUL,21620,"47.51,4.9875",Pylône autostable,38m,ORANGE Services Fixes,AJO,,70|220,,False,False
1057070,FREE MOBILE,LTE 800, (LA CROIX STE HÉLÈNE) 08210 LETANNE,08252,"49.5508,5.0797",Pylône autostable,22m,HIVORY,AJO,,210,,False,False
1079890,FREE MOBILE,LTE 800,JALEYRES 07630 CROS DE GEORAND,07075,"44.7872,4.1192",Pylône autostable,21m,TDF,AJO,,40|240,,False,False
1079894,FREE MOBILE,LTE 800,CHEMIN D'ANNOGNE CHEM D'EXPLOITATION N° 43 08220 SEVIGNY WALEPPE,08418,"49.6067,4.0908",Pylône autostable,28m,Conseil Départemental,AJO,,10|200,,False,False
1079898,FREE MOBILE,LTE 800,CHEMIN DE L'EPINE 08220 CHAPPES,08102,"49.6056,4.2622",Pylône autostable,33m,Conseil Départemental,AJO,,45,,False,False
1080414,FREE MOBILE,LTE 800, (SERRES DU CHAZIOL) 07530 ST JOSEPH DES BANCS,07251,"44.7403,4.4128",Pylône autostable,25m,TDF,AJO,,55|195,,False,False
1080779,FREE MOBILE,LTE 800,LE BUISSON BERNARD CHEMIN D'EXPLOITATION N°26 (FERME DE LA BRIQUETERIE) 08220 FRAILLICOURT,08178,"49.6533,4.1686",Pylône autostable,38m,Conseil Départemental,AJO,,0|270,,False,False
1083397,FREE MOBILE,LTE 800,CHEMIN DE SERRE FAVIER (SERRE FAVIER) 26410 BOULC,26055,"44.6628,5.5203",Pylône autostable,30m,TDF,AJO,,10|110|280,,False,False
1083746,FREE MOBILE,LTE 800,CHEM DU NID DES CYGNES 08250 AUTRY,08036,"49.2589,4.8575",Pylône autostable,33m,Conseil Départemental,AJO,,180|300,,False,False
1084157,FREE MOBILE,LTE 800, (LATOURETTE) 26560 MONTFROC,26200,"44.1736,5.6342",Pylône autostable,22m,HIVORY,AJO,,20|140,,False,False
1084708,FREE MOBILE,LTE 800, (TERRE DE LUCQUY) 08220 REMAUCOURT,08356,"49.5881,4.2358",Pylône autostable,43m,Conseil Départemental,AJO,,0|100,,False,False
1150566,FREE MOBILE,LTE 800,D 127 (VILLOTTE) 33540 CLEYRAC,33129,"44.7228,-0.0444",Pylône autostable,"40,4m",HIVORY,AJO,,0|120|240,,False,False
1190515,FREE MOBILE,5G NR 700,7 RUE DE L  UNION AV. DU GÉNÉRAL LECLERC 93120 LA COURNEUVE,93027,"48.9281,2.3831",Immeuble,"39,3m",Société HLM,AJA,,30|140|270,,False,False
1191818,FREE MOBILE,LTE 800,PRÈS D. 112 (LA PETITE FORÊT) 21510 MINOT,21415,"47.6728,4.8433",Pylône autostable,40m,Conseil Départemental,AJO,,90|280,,False,False
1199494,FREE MOBILE,LTE 800, (LES PLAUX) 15100 ALLEUZE,15002,"44.9531,3.0767",Pylône autostable,32m,Conseil Départemental,AJO,,30|180|310,,False,False
1206772,FREE MOBILE,LTE 800,DÉPARTEMENTALE 35 (NOUE BARRA) 10240 VAUCOGNE,10398,"48.5303,4.3783",Pylône tubulaire,"16,6m",TOTEM,AJO,,10|160|260,,False,False
1281467,FREE MOBILE,5G NR 700,126 RUE DU LANDY 93400 ST OUEN SUR SEINE,93070,"48.9139,2.3436",Immeuble,"27,4m",Société Privée,AJA,,20|140|260,,False,False
1282642,FREE MOBILE,LTE 800,R. D. N°19 (CHAUMUNIER) 21150 LUCENAY LE DUC,21358,"47.6078,4.5206",Pylône autostable,18m,TOTEM,AJO,,5|135|ND,,False,False
1318007,FREE MOBILE,LTE 800,CHEMIN COMMUNAL (RECOULES HAUTES) 15150 GLENAT,15076,"44.8903,2.1681",Pylône autostable,40m,Conseil Départemental,AJO,,25|160|260,,False,False
1319046,FREE MOBILE,LTE 800,CHEMIN RURAL DIT DE PRIX ANGLE (LE LIMONEAU) 08090 WARNECOURT,08498,"49.7328,4.6667",Pylône autostable,35m,DDE,AJO,,30|165|255,,False,False
1323536,FREE MOBILE,5G NR 700,5 RUE GAMBETTA 92240 MALAKOFF,92046,"48.8233,2.3075",Immeuble,"57,4m",Société HLM,AJA,,0|120|240,,False,False
1351625,FREE MOBILE,LTE 800, (PIERRE SONNETTE) 10160 MARAYE EN OTHE,10222,"48.1711,3.8492",Pylône autostable,32m,Conseil Départemental,AJO,,20|160|280,,False,False
