id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1007468,BOUYGUES TELECOM,5G NR 3500,48 AV DE LA REPUBLIQUE 75011 PARIS 11,75111,"48.865,2.3744",Immeuble,28m,"Copropriété, Syndic, SCI",2026-04-21,ALL,,False,False
101113,ORANGE,,R DES CHÊNES - LE BOURG 63760 BOURG LASTIC,63048,"45.6475,2.555",Pylône autostable,"30,8m",TOTEM,2000-03-17,CHH,30m,False,False
1113271,FREE MOBILE,5G NR 3500,1 AVENUE DE LA DIVISION LECLERC 94450 LIMEIL BREVANNES,94044,"48.75,2.4808",Immeuble,"19,3m","Copropriété, Syndic, SCI",2026-05-01,ALL,,False,False
1169001,ORANGE,5G NR 2100,RUE DU CAPITAINE MARIENNE CENTRAL TÉLÉPHONIQUE 56420 PLUMELEC,56172,"47.8397,-2.6408",Pylône autostable,"28,5m",TOTEM,2026-04-28,ALL,,False,False
118386,ORANGE,GSM 900,25 R DE LA RÉPUBLIQUE 97122 BAIE MAHAULT,97103,"16.2672,-61.5875",Immeuble,15m,Société Privée,2006-03-17,SUP,,False,False
1206077,BOUYGUES TELECOM,GSM 900,2 À 10 ALLÉE YOURI GAGARINE 92300 LEVALLOIS PERRET,92044,"48.8939,2.2961",Immeuble,"44,6m",Société HLM,1996-05-31,SUP,,False,False
1208443,ORANGE,LTE 700,RUE JEAN MOULIN ENTREPRISE TERNOIS (LES HAYETTES) 80570 EMBREVILLE,80265,"50.0219,1.5358",Pylône tubulaire,30m,TOTEM,2026-05-06,ALL,,False,False
1273220,ORANGE,,RTE D'ARCACHON À BISCARROSSE - D218 (CAMPING DE LA DUNE) 33260 LA TESTE DE BUCH,33529,"44.5817,-1.2133",Mât,"12,1m",TOTEM,2009-07-02,CHH,12m,False,False
1283918,FREE MOBILE,5G NR 3500,1 PLACE VERDUN 92300 LEVALLOIS PERRET,92044,"48.8939,2.2856",Immeuble,"44,9m",Société HLM,2026-05-01,ALL,,False,False
1288882,FREE MOBILE,5G NR 3500,13B AV DU GENERAL CHAMPON 38100 GRENOBLE,38185,"45.1817,5.7319",Immeuble,48m,"Copropriété, Syndic, SCI",2026-05-01,ALL,,False,False
1322917,FREE MOBILE,5G NR 3500,ZA DE LAMBOUX 56250 ELVEN,56053,"47.7194,-2.5886",Pylône autostable,47m,SFR,2026-05-01,ALL,,False,False
1327230,ORANGE,5G NR 700,160 A BD D'HALLUIN 59200 TOURCOING,59599,"50.7356,3.1331",Immeuble,26m,Société HLM,,AJO,,False,False
