id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1023760,ORANGE,5G NR 700,222 R ST PIERRE BATIMENT D 13005 MARSEILLE 05,13205,"43.2922,5.3997",Bâtiment,37m,Société HLM,AAV,,30|150|270,2026-09-18,False,False
1033093,ORANGE,5G NR 3500,3 RUE CHARLES TELLIER 56300 PONTIVY,56178,"48.0553,-2.9667",Pylône tubulaire,32m,TOTEM,ART,,60|180|300,2025-10-27,False,False
1084404,ORANGE,5G NR 3500,CHEMIN DU TEMPLE 13280 ARLES,13004,"43.6994,4.6375",Pylône tubulaire,19m,TOTEM,ART,,35|160|240,2026-02-27,False,False
1146880,ORANGE,"LTE 700, LTE 800, 5G NR 2100",SOMMET-PYLONE TDF PYLONE TDF (LE PUY DE DOME) 63870 ORCINES,63263,"45.7725,2.9647",Bâtiment,20m,TDF,AJO,,220|310,,False,False
1151809,ORANGE,5G NR 3500,69 RUE DUGUESCLIN 69006 LYON 06,69386,"45.7711,4.8472",Immeuble,"28,3m","Copropriété, Syndic, SCI",ART,,30|170|300,2025-11-24,False,False
1275241,ORANGE,5G NR 3500,16 RUE DU MÉDECIN LIEUTENANT LÉPINE 06400 CANNES,06029,"43.5506,7.0278",Bâtiment,"30,4m",Société Privée,ART,,85|205|325,2026-06-22,False,False
1292161,ORANGE,5G NR 3500,2 RUE GUILLAUME DE MORTAGNE RUE HENRI MANSARD 59200 TOURCOING,59599,"50.7364,3.1758",Immeuble,34m,Société HLM,ART,,30|150|270,2026-04-02,False,False
1314315,ORANGE,"5G NR 700, 5G NR 3500",ROUTE DE LYON STADE 01090 MONTMERLE SUR SAONE,01263,"46.075,4.7647",Pylône tubulaire,31m,TOTEM,ART,,60|160|320,2025-10-21,False,False
1326531,ORANGE,5G NR 3500,RUE LAPLACE ANCIENS ETS CHARVET 41000 BLOIS,41018,"47.6047,1.3356",Pylône autostable,27m,TOTEM,ART,,30|150|270,2025-10-01,False,False
1370975,ORANGE,5G NR 3500,29 BD RASPAIL 84140 AVIGNON,84007,"43.9444,4.8006",Bâtiment,20m,Société Privée,ART,,60|180|280,2025-06-23,False,False
1385020,ORANGE,,RTE DE REVEL CHÂTEAU D'EAU 31450 FOURQUEVAUX,31192,"43.4981,1.6233",Pylône tubulaire,35m,HIVORY,CHI,2313466,,,False,True
