id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1285217,SFR,"GSM 900, 5G NR 3500",2 À 10 BOULEVARD DE L'EUROPE 78300 POISSY,78498,"48.9342,2.045",Bâtiment,"22,5m",Société Privée,SUP,,90|270,2016-03-30,False,False
1319491,SFR,5G NR 2100,749 CHEMIN DU TAUDE 06140 VENCE,06157,"43.6972,7.1375",Pylône tubulaire,9m,HIVORY,AJO,,70|230|330,,False,False
1319491,SFR,5G NR 3500,749 CHEMIN DU TAUDE 06140 VENCE,06157,"43.6972,7.1375",Pylône tubulaire,9m,HIVORY,SUP,,70|230|330,,False,False
1327865,SFR,5G NR 3500,36 RUE DE SAINT NOM 78112 ST GERMAIN EN LAYE,78551,"48.8833,2.0589",Pylône arbre,25m,HIVORY,SUP,,55|135|215,,False,False
1463592,SFR,"UMTS 2100, 5G NR 3500",CHEM VICINAL  23 DU THUIT-SIGNOL (LE CLOS DUFOUR) 27670 BOSROUMOIS,27090,"49.2886,0.9467",Pylône autostable,"47,5m",HIVORY,SUP,,0|120|240,2010-03-29,False,False
1487711,SFR,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100", (LES ORBIDAS) 36110 LEVROUX,36093,"46.9764,1.6006",Pylône autostable,"43,6m",TDF,AJO,,70|190|310,,False,False
1583346,SFR,LTE 700,D 82 (BOIS DE DERRIÈRE) 89150 BRANNAY,89054,"48.2383,3.1372",Château d'eau - réservoir,30m,"Syndicat des eaux, Adduction",AJO,,50|140|260,,False,False
1583346,SFR,LTE 2100,D 82 (BOIS DE DERRIÈRE) 89150 BRANNAY,89054,"48.2383,3.1372",Château d'eau - réservoir,30m,"Syndicat des eaux, Adduction",SUP,,50|140|260,2022-10-26,False,False
1615635,SFR,"LTE 700, LTE 1800, 5G NR 2100", (GRANDES RIBIÈRES) 23400 MANSAT LA COURRIERE,23122,"45.9714,1.8075",Pylône autostable,38m,ATC FRANCE,AJO,,50|170|270,,False,False
1620466,SFR,,RD 70 (LA ROCHE À MIRAUT) 89340 CHAMPIGNY,89074,"48.3056,3.1281",Pylône autostable,"30,3m",HIVORY,CHH,32m,,,False,False
