id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1001341,BOUYGUES TELECOM,ALL,LTE 700,590 RTE DE GRENOBLE PYL BOUYGUES (CHEM DE SAQUIER) 06300 NICE,06088,"43.7278,7.1928",Mât,5m,BOUYGUES,2025-10-30,False,False
100560,FREE MOBILE,ALL,LTE 900,VC N°4 (LA COULOMBRIÈRE) 61410 RIVES D ANDAINE,61096,"48.5406,-0.4642",Pylône autostable,35m,TOTEM,2025-11-27,False,False
1006770,OUTREMER TELECOM,ALL,LTE 2100,IMPASSE DU CIMETIERE PLACE DE L'EGLISE 97130 CAPESTERRE BELLE EAU,97107,"16.0425,-61.5658",Monument religieux,17m,"Commune, communauté de communes",2025-07-25,False,False
1006770,OUTREMER TELECOM,SUP,GSM 1800,IMPASSE DU CIMETIERE PLACE DE L'EGLISE 97130 CAPESTERRE BELLE EAU,97107,"16.0425,-61.5658",Monument religieux,17m,"Commune, communauté de communes",2017-05-06,False,False
1010239,ORANGE,SUP,GSM 900,CHEM D'EXPLOIT N°28 / N°29 (FOND DE BOUDIN) 51170 LHERY,51321,"49.2028,3.7589",Pylône autostable,25m,SNCF Réseau,2007-05-09,False,False
1010317,OUTREMER TELECOM,ALL,LTE 2100,LES PORTORICAINS (PENICHE) 97352 ROURA,97310,"4.8036,-52.3628",Pylône autostable,45m,Outremer Telecom,2025-09-25,False,False
1010317,OUTREMER TELECOM,SUP,GSM 1800,LES PORTORICAINS (PENICHE) 97352 ROURA,97310,"4.8036,-52.3628",Pylône autostable,45m,Outremer Telecom,2017-04-15,False,False
101067,ORANGE,SUP,"GSM 900, LTE 700", (LA BARAQUE) 63870 ORCINES,63263,"45.7794,3.0233",Pylône autostable,30m,TOTEM,1998-02-20,False,False
1010928,FREE MOBILE,ALL,LTE 900,52 IMPASSE DU PRAS 69350 LA MULATIERE,69142,"45.7239,4.8147",Pylône tubulaire,26m,ON TOWER FRANCE,2025-11-27,False,False
1013026,ORANGE,SUP,"GSM 900, LTE 700",LA FERME DE LA BARRIERE QUARTIER DE LA BARRIERE - D562 83440 MONTAUROUX,83081,"43.6031,6.7794",Pylône tubulaire,15m,TOTEM,2012-09-20,False,False
1015238,ORANGE,SUP,GSM 900,13 RUE PÉTINIAUD BEAUPEYRAT 87280 LIMOGES,87085,"45.8278,1.2547",Immeuble,25m,"Copropriété, Syndic, SCI",2012-06-22,False,False
101559,ORANGE,AJO,"LTE 700, 5G NR 2100",RUE DU JAUMET RÉSERVOIR D'EAU DE CASES DE PENE 66600 CASES DE PENE,66041,"42.7803,2.7864",Château d'eau - réservoir,20m,"Commune, communauté de communes",,False,False
101559,ORANGE,SUP,LTE 2100,RUE DU JAUMET RÉSERVOIR D'EAU DE CASES DE PENE 66600 CASES DE PENE,66041,"42.7803,2.7864",Château d'eau - réservoir,20m,"Commune, communauté de communes",2021-01-10,False,False
1018249,ORANGE,SUP,"UMTS 900, LTE 700",123 RUE SERGENT BLANDAN 54100 NANCY,54395,"48.6744,6.1711",Bâtiment,20m,"Copropriété, Syndic, SCI",2023-12-26,False,False
1023562,ORANGE,SUP,GSM 900,RUE DES GRAVIERS ZONE D'ACTIVITÉ DES GRAVIERS 91190 VILLIERS LE BACLE,91679,"48.7311,2.1119",Pylône autostable,32m,TOTEM,2012-08-28,False,False
102670,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700, LTE 800, LTE 1800",9 R AIMÉ CHRISTOPHE 69470 COURS,69066,"46.0678,4.3153",Pylône autostable,24m,TOTEM,2000-12-06,False,False
